2022-09-20 16:56:38,782 INFO     Agents loaded
2022-09-20 16:56:38,784 DEBUG    Creating converter from 3 to 5
2022-09-20 16:56:38,844 WARNING  No training configuration found in the save file, so the model was *not* compiled. Compile it manually.
2022-09-20 16:56:38,845 INFO     Autoencoder loaded
2022-09-20 16:57:28,548 INFO     Received data: '2,0,0.01,1.00,17,6'
2022-09-20 16:57:28,820 INFO     Action is [129] Reward_avg is: 0.0 reward for slice [0. 0. 0.]
2022-09-20 16:57:28,821 INFO     Action means slice_prb [24, 15, 11] (slice_rbg [8, 5, 4]), sched [2, 1, 0]
2022-09-20 16:57:28,821 INFO     Sending to DU: '2,1,0\n8,5,4'
2022-09-20 17:00:42,595 INFO     Received data: '2,0,0.00,1.00,11,1\n2,0,0.00,1.00,11,4'
2022-09-20 17:00:42,745 INFO     Action is [182] Reward_avg is: 0.0 reward for slice [0. 0. 0.]
2022-09-20 17:00:42,746 INFO     Action means slice_prb [18, 9, 23] (slice_rbg [6, 3, 8]), sched [2, 0, 2]
2022-09-20 17:00:42,746 INFO     Sending to DU: '2,0,2\n6,3,8'
2022-09-20 17:00:47,596 INFO     Using previous socket data
2022-09-20 17:00:47,768 INFO     Action is [182] Reward_avg is: 0.0 reward for slice [0. 0. 0.]
2022-09-20 17:00:47,768 INFO     Action means slice_prb [18, 9, 23] (slice_rbg [6, 3, 8]), sched [2, 0, 2]
2022-09-20 17:00:47,768 INFO     Sending to DU: '2,0,2\n6,3,8'
2022-09-20 17:00:48,597 INFO     Received data: '2,0,0.07,1.00,23,14\n2,0,0.10,1.00,23,21\nq>\x01'
2022-09-20 17:00:48,772 INFO     Action is [252] Reward_avg is: 0.0 reward for slice [0. 0. 0.]
2022-09-20 17:00:48,772 INFO     Action means slice_prb [6, 9, 35] (slice_rbg [2, 3, 12]), sched [1, 0, 0]
2022-09-20 17:00:48,772 INFO     Sending to DU: '1,0,0\n2,3,12'
2022-09-20 17:00:49,598 INFO     Received data: '2,0,0.10,1.00,35,16\n2,0,0.12,1.00,35,22\n1\x17\x01'
2022-09-20 17:00:49,768 INFO     Action is [252] Reward_avg is: 0.0 reward for slice [0. 0. 0.]
2022-09-20 17:00:49,768 INFO     Action means slice_prb [6, 9, 35] (slice_rbg [2, 3, 12]), sched [1, 0, 0]
2022-09-20 17:00:49,768 INFO     Sending to DU: '1,0,0\n2,3,12'
2022-09-20 17:00:50,598 INFO     Using previous socket data
2022-09-20 17:00:50,772 INFO     Action is [252] Reward_avg is: 0.0 reward for slice [0. 0. 0.]
2022-09-20 17:00:50,772 INFO     Action means slice_prb [6, 9, 35] (slice_rbg [2, 3, 12]), sched [1, 0, 0]
2022-09-20 17:00:50,772 INFO     Sending to DU: '1,0,0\n2,3,12'
2022-09-20 17:00:51,599 INFO     Using previous socket data
2022-09-20 17:00:51,765 INFO     Action is [252] Reward_avg is: 0.0 reward for slice [0. 0. 0.]
2022-09-20 17:00:51,766 INFO     Action means slice_prb [6, 9, 35] (slice_rbg [2, 3, 12]), sched [1, 0, 0]
2022-09-20 17:00:51,766 INFO     Sending to DU: '1,0,0\n2,3,12'
2022-09-20 17:00:52,599 INFO     Using previous socket data
2022-09-20 17:00:52,735 INFO     Action is [252] Reward_avg is: 0.0 reward for slice [0. 0. 0.]
2022-09-20 17:00:52,735 INFO     Action means slice_prb [6, 9, 35] (slice_rbg [2, 3, 12]), sched [1, 0, 0]
2022-09-20 17:00:52,735 INFO     Sending to DU: '1,0,0\n2,3,12'
2022-09-20 17:00:53,600 INFO     Received data: '2,0,0.11,1.00,35,21\n2,0,0.13,1.00,35,24\n1z'
2022-09-20 17:00:53,740 INFO     Action is [252] Reward_avg is: 0.0 reward for slice [0. 0. 0.]
