2022-09-14 15:32:04,730 INFO     Agents loaded
2022-09-14 15:32:04,785 WARNING  No training configuration found in the save file, so the model was *not* compiled. Compile it manually.
2022-09-14 15:32:04,785 INFO     Autoencoder loaded
2022-09-14 15:34:48,155 INFO     Received data: '2,0,0.01,1.00,17,5'
2022-09-14 15:34:48,401 INFO     Action is [277] Reward_avg is: 0.0 reward for slice [0. 0. 0.]
2022-09-14 15:34:48,402 INFO     Action means slice_prb [36, 3, 11] (slice_rbg [12, 1, 4]), sched [0, 2, 1]
2022-09-14 15:34:48,402 INFO     Sending to DU: '0,2,1\n12,1,4'
2022-09-14 15:34:53,158 INFO     Using previous socket data
2022-09-14 15:34:53,282 INFO     Action is [277] Reward_avg is: 0.0 reward for slice [0. 0. 0.]
2022-09-14 15:34:53,282 INFO     Action means slice_prb [36, 3, 11] (slice_rbg [12, 1, 4]), sched [0, 2, 1]
2022-09-14 15:34:53,282 INFO     Sending to DU: '0,2,1\n12,1,4'
2022-09-14 15:34:54,158 INFO     Using previous socket data
2022-09-14 15:34:54,282 INFO     Action is [277] Reward_avg is: 0.0 reward for slice [0. 0. 0.]
2022-09-14 15:34:54,282 INFO     Action means slice_prb [36, 3, 11] (slice_rbg [12, 1, 4]), sched [0, 2, 1]
2022-09-14 15:34:54,282 INFO     Sending to DU: '0,2,1\n12,1,4'
2022-09-14 15:34:55,159 INFO     Received data: '2,158,0.20,1.00,11,37\n2,0,0.22,1.00,11,40'
2022-09-14 15:34:55,288 INFO     Action is [287] Reward_avg is: -782.68195 reward for slice [  0.   0. 158.]
2022-09-14 15:34:55,288 INFO     Action means slice_prb [36, 3, 11] (slice_rbg [12, 1, 4]), sched [1, 2, 2]
2022-09-14 15:34:55,288 INFO     Sending to DU: '1,2,2\n12,1,4'
2022-09-14 15:34:56,159 INFO     Received data: '2,0,0.17,1.00,11,30\n2,0,0.20,1.00,11,35\n\x11\x17\x01'
2022-09-14 15:34:56,281 INFO     Action is [287] Reward_avg is: 0.0 reward for slice [0. 0. 0.]
2022-09-14 15:34:56,281 INFO     Action means slice_prb [36, 3, 11] (slice_rbg [12, 1, 4]), sched [1, 2, 2]
2022-09-14 15:34:56,281 INFO     Sending to DU: '1,2,2\n12,1,4'
2022-09-14 15:34:57,160 INFO     Using previous socket data
2022-09-14 15:34:57,282 INFO     Action is [287] Reward_avg is: 0.0 reward for slice [0. 0. 0.]
2022-09-14 15:34:57,283 INFO     Action means slice_prb [36, 3, 11] (slice_rbg [12, 1, 4]), sched [1, 2, 2]
2022-09-14 15:34:57,283 INFO     Sending to DU: '1,2,2\n12,1,4'
2022-09-14 15:34:58,161 INFO     Using previous socket data
2022-09-14 15:34:58,286 INFO     Action is [287] Reward_avg is: 0.0 reward for slice [0. 0. 0.]
2022-09-14 15:34:58,286 INFO     Action means slice_prb [36, 3, 11] (slice_rbg [12, 1, 4]), sched [1, 2, 2]
2022-09-14 15:34:58,286 INFO     Sending to DU: '1,2,2\n12,1,4'
2022-09-14 15:34:59,162 INFO     Using previous socket data
2022-09-14 15:34:59,290 INFO     Action is [287] Reward_avg is: 0.0 reward for slice [0. 0. 0.]
2022-09-14 15:34:59,290 INFO     Action means slice_prb [36, 3, 11] (slice_rbg [12, 1, 4]), sched [1, 2, 2]
2022-09-14 15:34:59,290 INFO     Sending to DU: '1,2,2\n12,1,4'
2022-09-14 15:35:00,162 INFO     Received data: '2,0,0.17,1.00,11,32\n2,0,0.22,1.00,11,39\n\x11z'
2022-09-14 15:35:00,286 INFO     Action is [287] Reward_avg is: 0.0 reward for slice [0. 0. 0.]
2022-09-14 15:35:00,286 INFO     Action means slice_prb [36, 3, 11] (slice_rbg [12, 1, 4]), sched [1, 2, 2]
2022-09-14 15:35:00,286 INFO     Sending to DU: '1,2,2\n12,1,4'
2022-09-14 15:35:01,163 INFO     Using previous socket data
2022-09-14 15:35:01,286 INFO     Action is [287] Reward_avg is: 0.0 reward for slice [0. 0. 0.]
2022-09-14 15:35:01,286 INFO     Action means slice_prb [36, 3, 11] (slice_rbg [12, 1, 4]), sched [1, 2, 2]
2022-09-14 15:35:01,286 INFO     Sending to DU: '1,2,2\n12,1,4'
2022-09-14 15:35:02,164 INFO     Using previous socket data
2022-09-14 15:35:02,289 INFO     Action is [287] Reward_avg is: 0.0 reward for slice [0. 0. 0.]
2022-09-14 15:35:02,289 INFO     Action means slice_prb [36, 3, 11] (slice_rbg [12, 1, 4]), sched [1, 2, 2]
2022-09-14 15:35:02,289 INFO     Sending to DU: '1,2,2\n12,1,4'
2022-09-14 15:35:03,165 INFO     Received data: '2,0,0.24,1.00,11,42\n2,0,0.24,1.00,11,43\nQ\x14'
2022-09-14 15:35:03,289 INFO     Action is [287] Reward_avg is: 0.0 reward for slice [0. 0. 0.]
2022-09-14 15:35:03,290 INFO     Action means slice_prb [36, 3, 11] (slice_rbg [12, 1, 4]), sched [1, 2, 2]
2022-09-14 15:35:03,290 INFO     Sending to DU: '1,2,2\n12,1,4'
2022-09-14 15:35:04,165 INFO     Received data: '2,0,0.25,1.00,11,42\n2,0,0.22,1.00,11,42\n\x11'
2022-09-14 15:35:04,294 INFO     Action is [287] Reward_avg is: 0.0 reward for slice [0. 0. 0.]
2022-09-14 15:35:04,294 INFO     Action means slice_prb [36, 3, 11] (slice_rbg [12, 1, 4]), sched [1, 2, 2]
2022-09-14 15:35:04,294 INFO     Sending to DU: '1,2,2\n12,1,4'
2022-09-14 15:35:05,166 INFO     Using previous socket data
2022-09-14 15:35:05,287 INFO     Action is [287] Reward_avg is: 0.0 reward for slice [0. 0. 0.]
2022-09-14 15:35:05,287 INFO     Action means slice_prb [36, 3, 11] (slice_rbg [12, 1, 4]), sched [1, 2, 2]
2022-09-14 15:35:05,287 INFO     Sending to DU: '1,2,2\n12,1,4'
2022-09-14 15:35:06,167 INFO     Using previous socket data
2022-09-14 15:35:06,289 INFO     Action is [287] Reward_avg is: 0.0 reward for slice [0. 0. 0.]
2022-09-14 15:35:06,289 INFO     Action means slice_prb [36, 3, 11] (slice_rbg [12, 1, 4]), sched [1, 2, 2]
2022-09-14 15:35:06,289 INFO     Sending to DU: '1,2,2\n12,1,4'
2022-09-14 15:35:07,167 INFO     Received data: '2,0,0.27,1.00,11,45\n2,0,0.17,1.00,11,30\nQ\x17'
