2022-09-20 22:54:46,816 INFO     Agents loaded
2022-09-20 22:54:46,818 DEBUG    Creating converter from 3 to 5
2022-09-20 22:54:46,877 WARNING  No training configuration found in the save file, so the model was *not* compiled. Compile it manually.
2022-09-20 22:54:46,878 INFO     Autoencoder loaded
2022-09-20 22:55:37,502 INFO     Received data: '2,0,0.00,1.00,17,1\n2,0,0.00,1.00,17,1'
2022-09-20 22:55:37,899 INFO     Action is [129] Reward_avg is: 0.0 reward for slice [0. 0. 0.]
2022-09-20 22:55:37,899 INFO     Action means slice_prb [24, 15, 11] (slice_rbg [8, 5, 4]), sched [2, 1, 0]
2022-09-20 22:55:37,899 INFO     Sending to DU: '2,1,0\n8,5,4'
2022-09-20 22:58:53,548 INFO     Received data: '2,0,0.01,1.00,11,5\n2,0,0.01,1.00,11,5'
2022-09-20 22:58:53,776 INFO     Action is [264] Reward_avg is: 0.0 reward for slice [0. 0. 0.]
2022-09-20 22:58:53,777 INFO     Action means slice_prb [6, 9, 35] (slice_rbg [2, 3, 12]), sched [2, 1, 0]
2022-09-20 22:58:53,777 INFO     Sending to DU: '2,1,0\n2,3,12'
2022-09-20 22:58:57,549 INFO     Received data: '2,0,0.18,1.00,35,31'
2022-09-20 22:58:57,795 INFO     Action is [129] Reward_avg is: 0.0 reward for slice [0. 0. 0.]
2022-09-20 22:58:57,795 INFO     Action means slice_prb [24, 15, 11] (slice_rbg [8, 5, 4]), sched [2, 1, 0]
2022-09-20 22:58:57,795 INFO     Sending to DU: '2,1,0\n8,5,4'
2022-09-20 22:58:58,550 INFO     Using previous socket data
2022-09-20 22:58:58,794 INFO     Action is [129] Reward_avg is: 0.0 reward for slice [0. 0. 0.]
2022-09-20 22:58:58,794 INFO     Action means slice_prb [24, 15, 11] (slice_rbg [8, 5, 4]), sched [2, 1, 0]
2022-09-20 22:58:58,794 INFO     Sending to DU: '2,1,0\n8,5,4'
2022-09-20 22:58:59,550 INFO     Received data: '2,0,0.25,1.00,11,44\n2,0,0.23,1.00,11,41\nQ\x17\x01'
